network,step,nll,n
48x5,0,4.385176,62542
48x5,10,4.606979,62542
48x5,20,4.62357,62542
48x5,30,4.557446,62542
48x5,40,4.579417,62542
48x5,50,4.598081,62542
48x5,60,4.62035,62542
48x5,70,4.568103,62542
48x5,80,4.599344,62542
48x5,90,4.601046,62542
48x5,100,4.610598,62542
48x5,110,4.627711,62542
48x5,120,4.54089,62542
48x5,130,4.642469,62542
48x5,140,4.687184,62542
48x5,150,4.636741,62542
48x5,160,4.61742,62542
48x5,170,4.613295,62542
48x5,180,4.585865,62542
48x5,190,4.596751,62542
48x5,200,4.57785,62542
48x5,210,4.590173,62542
48x5,220,4.641839,62542
48x5,230,4.675588,62542
48x5,240,4.604599,62542
48x5,250,4.625451,62542
48x5,260,4.628675,62542
48x5,270,4.575119,62542
48x5,280,4.606412,62542
48x5,290,4.655756,62542
48x5,300,4.65141,62542
48x5,310,4.597901,62542
128x10,0,4.311738,62542
128x10,10,3.690191,62542
128x10,20,3.705402,62542
128x10,30,3.70541,62542
128x10,40,3.709188,62542
128x10,50,3.709835,62542
128x10,60,3.70997,62542
128x10,70,3.708224,62542
128x10,80,3.710257,62542
128x10,90,3.708435,62542
128x10,100,3.710988,62542
128x10,110,3.708963,62542
128x10,120,3.709092,62542
128x10,130,3.708959,62542
128x10,140,3.707043,62542
128x10,150,3.709584,62542
128x10,160,3.70677,62542
128x10,170,3.708558,62542
128x10,180,3.709852,62542
128x10,190,3.709745,62542
128x10,200,3.710094,62542
128x10,210,3.709532,62542
128x10,220,3.708931,62542
128x10,230,3.709664,62542
128x10,240,3.708555,62542
128x10,250,3.708802,62542
128x10,260,3.70764,62542
128x10,270,3.708763,62542
128x10,280,3.71081,62542
128x10,290,3.708688,62542
128x10,300,3.709121,62542
128x10,310,3.708785,62542
192x16,0,5.110881,62542
192x16,10,5.651381,62542
192x16,20,5.779377,62542
192x16,30,5.834913,62542
192x16,40,5.882967,62542
192x16,50,5.823827,62542
192x16,60,5.821686,62542
192x16,70,5.841226,62542
192x16,80,5.87492,62542
192x16,90,5.807228,62542
192x16,100,5.813439,62542
192x16,110,5.849242,62542
192x16,120,5.851478,62542
192x16,130,5.922296,62542
192x16,140,5.862007,62542
192x16,150,5.776243,62542
192x16,160,5.813339,62542
192x16,170,5.825958,62542
192x16,180,5.777116,62542
192x16,190,5.823512,62542
192x16,200,5.849851,62542
192x16,210,5.81959,62542
192x16,220,5.818064,62542
192x16,230,5.844835,62542
192x16,240,5.842973,62542
192x16,250,5.862793,62542
192x16,260,5.880913,62542
192x16,270,5.813093,62542
192x16,280,5.874435,62542
192x16,290,5.829674,62542
192x16,300,5.851975,62542
192x16,310,5.784817,62542
256x20,0,4.369663,62542
256x20,10,4.096263,62542
256x20,20,4.178233,62542
256x20,30,4.190249,62542
256x20,40,4.17025,62542
256x20,50,4.173078,62542
256x20,60,4.181817,62542
256x20,70,4.195666,62542
256x20,80,4.191644,62542
256x20,90,4.193862,62542
256x20,100,4.168796,62542
256x20,110,4.178945,62542
256x20,120,4.17835,62542
256x20,130,4.19491,62542
256x20,140,4.181881,62542
256x20,150,4.18951,62542
256x20,160,4.191866,62542
256x20,170,4.177569,62542
256x20,180,4.17892,62542
256x20,190,4.184939,62542
256x20,200,4.18592,62542
256x20,210,4.170657,62542
256x20,220,4.18217,62542
256x20,230,4.179278,62542
256x20,240,4.164081,62542
256x20,250,4.180451,62542
256x20,260,4.180153,62542
256x20,270,4.192019,62542
256x20,280,4.186553,62542
256x20,290,4.190176,62542
256x20,300,4.170788,62542
256x20,310,4.18397,62542
768x15,0,4.808245,62542
768x15,10,3.790969,62542
768x15,20,3.79097,62542
768x15,30,3.79097,62542
768x15,40,3.790968,62542
768x15,50,3.790954,62542
768x15,60,3.790947,62542
768x15,70,3.790943,62542
768x15,80,3.790945,62542
768x15,90,3.790944,62542
768x15,100,3.790935,62542
768x15,110,3.790924,62542
768x15,120,3.790923,62542
768x15,130,3.79092,62542
768x15,140,3.790915,62542
768x15,150,3.790909,62542
768x15,160,3.790908,62542
768x15,170,3.790906,62542
768x15,180,3.7909,62542
768x15,190,3.790894,62542
768x15,200,3.790887,62542
768x15,210,3.790881,62542
768x15,220,3.790879,62542
768x15,230,3.790875,62542
768x15,240,3.790869,62542
768x15,250,3.790864,62542
768x15,260,3.790862,62542
768x15,270,3.790857,62542
768x15,280,3.790851,62542
768x15,290,3.790845,62542
768x15,300,3.790839,62542
768x15,310,3.790829,62542
human,0,1.705993,50907
